TJ_Tag,ID,Device_1,Trip_1,Device_2,Trip_2,StartTime_1,EndTime_1,StartTime_2,EndTime_2
2326,3988707,10137,5461,10129,4847,19690,24590,46000,50900
2327,3988707,10137,5461,10129,4847,31390,36890,57700,63200
2328,3988708,10137,5461,10129,4879,6190,7990,26610,28410
2329,3988708,10137,5461,10129,4879,16290,17190,36710,37610
2330,3988733,10137,5461,10129,4105,9790,15890,27120,33220
2331,3988737,10137,5461,10129,4712,8590,11090,33180,35680
2332,3988737,10137,5461,10129,4712,13290,14190,37880,38780
2333,3988743,10137,5461,10129,4427,6290,7990,26550,28250
2334,3988743,10137,5461,10129,4427,10890,12290,31150,32550
2335,3988749,10137,5461,10129,4654,6290,7990,31830,33530
2336,3988749,10137,5461,10129,4654,28490,35090,54030,60630
2337,3988783,10137,5461,10130,474,135790,136090,286750,287050
2338,3989103,10137,5464,10122,1139,13900,14800,16830,17730
2339,3991310,10137,5487,10131,2221,22800,22900,69880,69980
2340,3991311,10137,5487,10131,2520,34100,34900,82850,83650
2341,3991311,10137,5487,10131,2520,63600,69200,112350,117950
2342,3992288,10137,5499,502,514,21190,21390,94070,94270
2343,3992295,10137,5499,552,393,20490,20890,135820,136220
2344,3992295,10137,5499,552,393,46390,47890,161720,163220
2345,3993710,10137,5514,10131,413,25000,25700,75390,76090
2346,3993720,10137,5514,10131,1214,25000,29500,70060,74560
2347,3993720,10137,5514,10131,1214,33300,35100,78360,80160
2348,3993720,10137,5514,10131,1214,38800,39600,83860,84660
2349,3995684,10137,5530,10135,1685,6290,7390,146180,147280
2350,3997469,10137,5577,10130,621,96790,97090,20600,20900
2351,3998059,10137,5582,10131,1957,17890,18690,85960,86760
2352,3998064,10137,5582,10131,1932,14590,15590,68170,69170
2353,3998064,10137,5582,10131,1932,78990,81890,132570,135470
2354,4000602,10137,5606,10129,1220,95300,96100,93310,94110
2355,4001304,10137,5611,10131,1438,31380,31680,74310,74610
2356,4002155,10137,5619,10118,1885,171200,172600,207080,208480
2357,4019906,10137,5636,10131,413,23580,48680,75240,100340
2358,4019906,10137,5636,10131,413,95480,95880,147140,147540
2359,4019909,10137,5636,10131,1214,22280,23780,68500,70000
